id,word,meaning,level
814,care,"世話（する）、注意（する）　
※take care of ～　～の世話をする　Take care.　気をつけて",junior_high
815,career,職業、経歴　※career experience　職業体験学習,junior_high
816,careful,注意深い、慎重な,junior_high
817,carefully,注意深く,junior_high
818,carpenter,大工,junior_high
819,carrot,ニンジン,junior_high
820,carry,持っている、持ち歩く、運ぶ   【活用】 carry - carried - carried,junior_high
821,cartoon,漫画,junior_high
822,cartoonist,漫画家,junior_high
823,case,"①ケース、箱　
②場合",junior_high
824,castle,城,junior_high
825,cat,ネコ,junior_high
826,catch,捕まえる   【活用】 catch - caught - caught,junior_high
827,cause,（動）～を引き起こす、～の原因となる　　（名）原因,junior_high
828,CD,compact diskの略,junior_high
829,celebrate,祝う,junior_high
830,cellphone,携帯電話,junior_high
831,cent,セント（アメリカ・オーストラリア・カナダなどの通貨単位）,junior_high
832,center,中心、真ん中、センター（施設）,junior_high
833,centimeter,センチメートル,junior_high
834,century,世紀、１００年,junior_high
835,chain,くさり,junior_high
836,chair,いす,junior_high
837,challenge,挑戦（する）,junior_high
838,champion,優勝者、チャンピオン,junior_high
839,championship,選手権（大会）,junior_high
840,chance,機会、チャンス,junior_high
841,change,"①（動）変わる、変える　　　
②（名）つり銭",junior_high
842,character,"①（小説・劇などの）登場人物　
②（人の）性格、（物の）特色",junior_high
843,charge,充電する,junior_high
844,charity,慈善、チャリティー,junior_high
845,chart,図表,junior_high
846,cheap,安価な、安い,junior_high
847,check,照合する、確認する　　※check out　調べる,junior_high
848,cheer,元気づける、声援する     ※cheer (～) up   ～を元気づける,junior_high
849,cheerful,明るい、陽気な,junior_high
850,cheerfully,明るく、元気よく,junior_high
851,cheese,チーズ,junior_high
852,chef,（熟練した）コック、料理長,junior_high
853,cherry blossom,サクラの花,junior_high
854,cherry tree,サクラの木,junior_high
855,chicken,鶏肉,junior_high
856,child,子ども　　【複数】 children,junior_high
857,China,中国,junior_high
858,Chinese,中国の、中国人（の）、中国語（の）,junior_high
859,chocolate,チョコレート,junior_high
860,choice,選ぶこと、選択　※make a choice　選択する、選ぶ,junior_high
861,choose,選ぶ　　【活用】 choose - chose - chosen,junior_high
862,chopstick,箸,junior_high
863,chorus,合唱団（部）,junior_high
864,chorus contest,合唱コンクール,junior_high
865,Christmas,クリスマス,junior_high
866,Christmas card,クリスマスカード,junior_high
867,church,教会,junior_high
868,circle,円,junior_high
869,city,市,junior_high
870,city hall,市役所,junior_high
871,class,授業、クラス,junior_high
872,classic,古典的な,junior_high
873,classmate,クラスメイト、級友,junior_high
874,classroom,教室,junior_high
875,clean,"①（動）掃除する　　　
②（形）きれいな",junior_high
876,clear,晴れた、（話の内容などが）はっきりした,junior_high
877,clearly,はっきりと,junior_high
878,clerk,店員,junior_high
879,clever,利口な,junior_high
880,climate,気候,junior_high
881,climb,登る,junior_high
882,clinic,診療所,junior_high
883,clock,（壁に掛ける）時計,junior_high
884,close,"①（動）閉じる、閉める
②（形・副）近い（く）、接近した（して）、親しい　
※close to ～　～の近くに　",junior_high
885,clothes,衣服、服,junior_high
886,cloud,雲,junior_high
887,cloudy,くもりの、くもった,junior_high
888,club,クラブ、部,junior_high
889,club activity,部活動,junior_high
890,coach,コーチ,junior_high
891,coast,海岸,junior_high
892,coat,（衣類の）コート,junior_high
893,coffee,コーヒー,junior_high
894,coin,硬貨,junior_high
895,cola,コーラ,junior_high
896,cold,"①（形）寒い、冷たい　　
②（名）風邪　　※have a cold  風邪をひいている",junior_high
897,collect,集める、収集する,junior_high
898,collection,収集,junior_high
899,college,（単科）大学,junior_high
900,color,色,junior_high
901,colorful,色とりどりの,junior_high
902,come,"来る　　※come from ～　～出身である、～から生じる、
come back 戻る　　come in (into) 入る　　
【活用】 come - came - come",junior_high
903,comedian,喜劇役者、コメディアン,junior_high
904,comedy,喜劇,junior_high
905,comic,（comics で）漫画（の）　　※comic book 漫画本,junior_high
906,comic book,漫画本,junior_high
907,comment,意見、コメント　　※make a comment  意見を述べる,junior_high
908,common,ふつうの、よくある   ※in common　共通の,junior_high
909,communicate,意思を伝達する、（考え、情報などを）伝える,junior_high
910,communication,コミュニケーション、意思の疎通,junior_high
911,community,地域社会、コミュニティー,junior_high
912,company,会社,junior_high
913,compare,比較する、比べる,junior_high
914,computer,コンピューター,junior_high
915,concert,演奏会、コンサート,junior_high
916,conclusion,結論,junior_high
917,condition,状況、状態,junior_high
918,confident,自信を持った,junior_high
919,confused,混乱した,junior_high
920,congratulation,（Congratulations! で）おめでとう,junior_high
921,connect,つなぐ、つながる,junior_high
922,connection,接続、つながり、関係,junior_high
923,contact,（人と）連絡を取る,junior_high
924,content,内容,junior_high
925,contest,コンテスト、コンクール,junior_high
926,continue,続ける、続く,junior_high
927,control,制御　　　※out of control  制御しきれなくなって,junior_high
928,convenience,便利、都合,junior_high
929,convenience store,コンビニエンスストア,junior_high
930,convenient,便利な、都合のいい,junior_high
931,cook,"①（動）調理する　
②（名）料理人",junior_high
932,cooking,料理（すること）,junior_high
933,cool,"①涼しい
②すてきな",junior_high
934,copy,まねる、写しとる,junior_high
935,corner,かど,junior_high
936,correct,正す、直す,junior_high
937,cost,（費用などが）かかる,junior_high
938,costume,（民族などの）服装、（舞台の）衣装,junior_high
939,cotton,木綿,junior_high
940,cough,せき,junior_high
941,could,canの過去形　※Could you ～ ?　～してくださいませんか　（Can you ～ ? の丁寧な言い方）,junior_high
942,count,数える,junior_high
943,country,国,junior_high
944,courage,勇気,junior_high
945,course,進路　　    ※of course もちろん,junior_high
946,court,（テニスなどの）コート,junior_high
947,cousin,いとこ,junior_high
948,cover,～を覆う,junior_high
949,cow,雌牛（特に乳牛）,junior_high
950,crane,ツル,junior_high
951,crash,衝突する,junior_high
952,create,創作する、作り出す,junior_high
953,creative,創造力のある,junior_high
954,cross,（～を）渡る,junior_high
955,crowded,混雑した、満員の,junior_high
956,cry,叫ぶ、泣く,junior_high
957,cucumber,キュウリ,junior_high
958,culture,習慣、文化,junior_high
959,cup,茶わん、カップ   ※a cup of ～　カップ一杯の,junior_high
960,curry,カレー料理　　　※curry and rice  カレーライス,junior_high
961,custom,風習、習慣,junior_high
962,customer,客、顧客,junior_high
963,cut,切る　　※cut off  切り取る　　【活用】 cut - cut - cut,junior_high
964,cute,かわいらしい、かわいい,junior_high
965,cycling,サイクリング,junior_high
966,dad,パパ、お父さん,junior_high
967,daily,毎日の、日常の,junior_high
968,damage,～に損害を与える,junior_high
969,dance,（動）踊る　（名）踊り,junior_high
970,dancer,踊る人、ダンサー,junior_high
971,dancing,踊ること,junior_high
972,danger,危険,junior_high
973,dangerous,危険な,junior_high
974,dark,（光がなくて）暗い,junior_high
975,date,日付、月日,junior_high
976,daughter,娘,junior_high
977,day,"①１日、（ある特定の）日  
②昼間、日中 　 ※one day  ある日
all day (long)  １日中  the day after tomorrow  あさって
these days  最近、このごろは",junior_high
978,dead,死んだ,junior_high
979,dear,"①（形）親愛なる～（手紙の書きだしに使う） 
②（間）おや、まあ",junior_high
980,death,死、死亡,junior_high
981,December,１２月,junior_high
982,decide,決心する,junior_high
983,decision,決断,junior_high
984,deep,深い、奥の,junior_high
985,deeply,深く,junior_high
986,degree Celsius,摂氏,junior_high
987,delicious,おいしい,junior_high
988,demonstration,デモ,junior_high
989,dentist,歯医者,junior_high
990,department store,デパート,junior_high
991,departure,出発,junior_high
992,depend,～による、～次第である　 ※depend on ～　～次第だ、～による,junior_high
993,depressed,落胆した、元気がない,junior_high
994,design,デザイン（する）、図案（を作る）、（～を）設計（する）,junior_high
995,designer,デザイナー、設計者,junior_high
996,desk,机,junior_high
997,destroy,破壊する、こわす,junior_high
998,develop,発展させる、発展する,junior_high
999,developed,発達した　　　　※developed countries 先進国,junior_high
1000,developing,発展途上の　　※developing countries 発展途上国,junior_high
1001,diary,日記,junior_high
1002,dictionary,辞書、事典,junior_high
1003,did,doの過去形,junior_high
1004,die,死ぬ,junior_high
1005,difference,違い、違うこと,junior_high
1006,different,違った、いろいろな　　※be different from ～　～と違っている,junior_high
1007,differently,（～と）異なって,junior_high
1008,difficult,難しい、困難な,junior_high
1009,difficulty,難しさ、困難、苦労,junior_high
1010,dining room,食堂、ダイニングルーム,junior_high
1011,dinner,ディナー、夕食,junior_high
1012,disagree,意見が合わない、賛成しない,junior_high
1013,disappear,見えなくなる、消えうせる,junior_high
1014,disappointed,がっかりした,junior_high
1015,disaster,災害,junior_high
1016,discount,割引,junior_high
1017,discover,見つける、見いだす,junior_high
1018,disease,病気,junior_high
1019,dish,皿,junior_high
1020,distance,距離、遠い場所、遠方,junior_high
1021,do,"①（動）～する、行う、行動する　　  【活用】 do - did - done
②（助）（疑問文で）（～は～）しますか　
③（助）（否定文で）（～は～しない）
④（助）（否定の命令文で）（～は～）するな",junior_high
1022,doctor,医師、博士,junior_high
1023,does,主語が３人称単数形の時のdoの現在形,junior_high
1024,dog,イヌ,junior_high
1025,doll,人形,junior_high
1026,dollar,ドル（アメリカ・オーストラリア・カナダなどの通貨単位）,junior_high
1027,dolphin,イルカ,junior_high
1028,door,ドア,junior_high
1029,dot,点,junior_high
1030,down,下へ（に）、（道などに）沿って,junior_high
1031,Dr.,（医者や博士の名の前につけて）～先生、～博士,junior_high
1032,drama,（テレビの）ドラマ、劇,junior_high
1033,draw,（線を）引く、（絵を）かく　　　　【活用】 draw - drew - drawn,junior_high
1034,dream,夢（を見る）,junior_high
1035,dress,衣装、ドレス,junior_high
1036,dressed,服を着た　　　　  ※get dressed  服を着る,junior_high
1037,dried,乾燥した,junior_high
1038,drill,訓練,junior_high
1039,drink,"①（動）飲む　　【活用】 drink - drank - drunk   
②（名）飲み物",junior_high
1040,drive,（車を）運転する、ドライブする,junior_high
1041,driver,（車を）運転する人、運転手,junior_high
1042,drop,"①（動）落とす、落ちる
②（名）しずく",junior_high
1043,drugstore,ドラッグストア、薬局,junior_high
1044,drum,太鼓、ドラム,junior_high
1045,dry,（動）乾かす、（形）乾いた,junior_high
1046,duck,カモ、アヒル,junior_high
1047,during,～の間（のいつか）,junior_high
1048,DVD,digital video discの略,junior_high
1049,dying,瀕死の状態の、死にかかっている,junior_high
1050,each,それぞれ（の）、各（の）～　　※each other  お互いに,junior_high
1051,ear,耳,junior_high
1052,early,（時間的に）早い、早く,junior_high
1053,earth,地球,junior_high
1054,earthquake,地震,junior_high
1055,easily,簡単に、容易に,junior_high
1056,east,東（の、へ）、東方,junior_high
1057,easy,やさしい、簡単な,junior_high
1058,eat,食べる、食事をする　※eat out 外食する　【活用】 eat - ate - eaten,junior_high
1059,economy,経済,junior_high
1060,education,教育,junior_high
1061,effect,影響,junior_high
1062,effort,努力,junior_high
1063,egg,卵,junior_high
1064,eight,８（の）,junior_high
1065,eighteen,１８（の）,junior_high
1066,eighteenth,１８番目（の）,junior_high
1067,eighth,８番目（の）,junior_high
1068,eighty,８０（の）,junior_high
1069,either,"①どちらか　　　　※either A or B   AかBかどちから
②（否定）～もまた～ない　",junior_high
1070,elderly,年配の,junior_high
1071,electricity,電気,junior_high
1072,elementary school,小学校,junior_high
1073,elephant,ゾウ,junior_high
1074,elevator,エレベーター,junior_high
1075,eleven,１１（の）,junior_high
1076,eleventh,１１番目（の）,junior_high
1077,else,他に（の）、その他（の）　　　※anything else　他に何か,junior_high
1078,e(-)mail,電子メール、Eメール,junior_high
1079,embarrassed,恥ずかしい、気まずい,junior_high
1080,emergency,緊急事態、非常時,junior_high
1081,empty,空の,junior_high
1082,encourage,勇気づける、励ます,junior_high
1083,end,"①（動）終わる、終える　
②（名）最後、端　　※in the end 　最後に（は）",junior_high
1084,energy,エネルギー,junior_high
1085,engineer,技師、エンジニア,junior_high
1086,England,イングランド（主にグレートブリテン島の南部地域）,junior_high
1087,English,英語（の）、イギリスの、イギリス人（の）,junior_high
1088,enjoy,楽しむ、～は楽しい（と思う）,junior_high
1089,enough,十分な、ちょうどいい数（量）の,junior_high
1090,enter,（学校などに）入る,junior_high
1091,entrance,入り口、玄関,junior_high
1092,environment,環境,junior_high
1093,erase,～を消す,junior_high
1094,eraser,消しゴム,junior_high
1095,escape,逃げる,junior_high
1096,especially,特に,junior_high
1097,Europe,ヨーロッパ,junior_high
1098,even,～でさえ、～でも,junior_high
1099,evening,夕方、晩,junior_high
1100,event,（重要な）出来事、事件、行事,junior_high
1101,ever,（疑問文・否定文で）今までに、かつて,junior_high
1102,every,すべての、毎～,junior_high
1103,everybody,みんな,junior_high
1104,everyone,みんな,junior_high
1105,everything,すべてのこと（もの）,junior_high
1106,everywhere,いたるところ、どこでも,junior_high
1107,exam,試験（examinationを短くした形）,junior_high
1108,example,例、実例　　※for example  例えば,junior_high
1109,excellent,非常に優れた、優秀な,junior_high
1110,exchange,交換,junior_high
1111,excited,興奮した,junior_high
1112,exciting,興奮させる、わくわくするような,junior_high
1113,excuse,許す   ※Excuse me. 失礼します、すみません,junior_high
1114,exercise,運動、練習問題　　※do some exercise  運動する,junior_high
1115,expensive,（値段が）高い,junior_high
1116,experience,経験（する）、体験（する）,junior_high
1117,expert,専門家、エキスパート,junior_high
1118,explain,説明する,junior_high
1119,express,"①（動）表現する、言い表す
②（名）急行、速達",junior_high
1120,expression,表現,junior_high
1121,eye,目,junior_high
1122,face,"①（名）顔、表情
②（動）（危険・困難などに）立ち向かう、直面する",junior_high
1123,fact,事実、現実　　※in fact　実は,junior_high
1124,factory,工場,junior_high
1125,fair,公平な,junior_high
1126,fall,"①（動）落ちる　　   【活用】 fall - fell - fallen　　　　　　　　　　　　　　
②（名）秋、滝",junior_high
1127,family,家族,junior_high
1128,famous,有名な　　※be famous for ～　～で有名な,junior_high
1129,fan,"①（スポーツなどの）ファン　
②扇",junior_high
1130,far,（距離が）遠くに、遠く（い）,junior_high
1131,farewell,別れ,junior_high
1132,farm,農場,junior_high
1133,farmer,農場主、農業をする人,junior_high
1134,fashion,流行、はやり,junior_high
1135,fast,（速度が）速く（い）,junior_high
1136,father,父、父親,junior_high
1137,favorite,お気に入りの（もの）、大好きな（もの）,junior_high
1138,February,２月,junior_high
1139,fee,料金、入場料,junior_high
1140,feed,えさをやる、食物を与える,junior_high
1141,feel,（体や心に）感じる、気分が～である  　【活用】 feel - felt - felt,junior_high
1142,feeling,感情、気持ち,junior_high
1143,festival,お祭り、祭日、～祭、祭典,junior_high
1144,fever,（病気の）熱,junior_high
1145,few,※a few ～　数の～、少しの～,junior_high
1146,fiction,小説、フィクション,junior_high
1147,field,野原、畑、牧草地,junior_high
1148,fifteen,１５（の）,junior_high
1149,fifteenth,１５番目（の）,junior_high
1150,fifth,５番目（の）,junior_high
1151,fifty,５０（の）,junior_high
1152,fight,戦う,junior_high
1153,fill,いっぱいにする、いっぱいになる,junior_high
1154,final,最後の、最終の,junior_high
1155,finally,最後に、ついに,junior_high
1156,find,見つける、見いだす　  【活用】 find - found - found,junior_high
1157,fine,元気な、調子の良い,junior_high
1158,finger,手の指,junior_high
1159,finish,終わらせる、終わる,junior_high
1160,fire,火,junior_high
1161,firework,花火,junior_high
1162,first,"１番目（の）、第１に、最初に　　
※at first  最初は　　for the first time　初めて",junior_high
1163,fish,（動）魚つりをする　　（名）魚　　※go fishing 　釣りに行く,junior_high
1164,fishing,つり,junior_high
1165,fit,（サイズ・形が）合う,junior_high
1166,fitting room,試着室,junior_high
1167,five,５（の）,junior_high
1168,flag,旗,junior_high
1169,flight,飛行、（飛行機の）便,junior_high
1170,floor,床、階,junior_high
1171,flour,小麦粉,junior_high
1172,florist,花屋（の主人）,junior_high
1173,flower,花,junior_high
1174,fluently,流ちょうに,junior_high
1175,fly,飛ぶ、（飛行機で）行く（旅行する）　  【活用】 fly - flew - flown,junior_high
1176,follow,（～に）ついて行く、（～に）従う,junior_high
1177,food,食べもの,junior_high
1178,foot,足（足首から下の部分）　【複数】 feet,junior_high
1179,football,アメリカンフットボール、サッカー,junior_high
1180,for,"①～のために（の）　
②～にとって　
③～を得るために　
④～の理由で　
⑤～の間",junior_high
1181,foreign,外国の,junior_high
1182,foreigner,外国人,junior_high
1183,forest,森,junior_high
1184,forever,永久に、絶えず,junior_high
1185,forget,忘れる　　【活用】 forget - forgot - forgot/forgotten,junior_high
1186,forty,４０（の）,junior_high
1187,forward,前へ　　　※look forward to ～　～を楽しみに待つ,junior_high
1188,four,４（の）,junior_high
1189,fourteen,１４（の）,junior_high
1190,fourteenth,１４番目の,junior_high
1191,fourth,４番目（の）,junior_high
1192,fox,キツネ,junior_high
1193,France,フランス,junior_high
1194,free,"①自由な　　※be free to ～　自由に～することができる
②ひまな　
③無料の　　",junior_high
1195,freedom,自由,junior_high
1196,freely,自由に,junior_high
1197,French,フランスの、フランス人（の）、フランス語（の）,junior_high
1198,French fries,フライドポテト,junior_high
1199,fresh,新鮮な,junior_high
1200,Friday,金曜日,junior_high
1201,fridge,冷蔵庫（refrigeratorの略）,junior_high
1202,friend,友人、友達　　※make friends with～　～と友達になる,junior_high
1203,friendly,友好的な、人なつっこい,junior_high
1204,friendship,友情、親交,junior_high
1205,frog,カエル,junior_high
1206,from,"①～から　      ※from ～ to･･･ ～から･･･まで
②～出身で　  ",junior_high
1207,front,前（の）、前部（の）　　※in front of ～　～の前に（の）,junior_high
1208,fruit,果物、フルーツ,junior_high
1209,frustrated,フラストレーションを感じて、ストレスのたまった,junior_high
1210,full,満ちた、いっぱいの     ※be full of～　～で一杯の,junior_high
1211,fun,おもしろい（こと）、楽しさ　　※have fun　楽しむ,junior_high
1212,funny,おもしろい,junior_high
1213,furniture,家具,junior_high
1214,future,未来（の）、将来（の）　　　※in the future 　将来（は）,junior_high
1215,game,試合、（gamesで）競技大会、ゲーム,junior_high
1216,garbage,生ごみ、くず,junior_high
1217,garden,畑、庭,junior_high
1218,gas,（燃料用の）ガス,junior_high
1219,gate,門,junior_high
1220,gather,集まる、集める,junior_high
1221,gentle,思いやりのある,junior_high
1222,gentleman,紳士、男性     【複数】 gentlemen,junior_high
1223,German,ドイツの、ドイツ人（の）、ドイツ語（の）,junior_high
1224,Germany,ドイツ,junior_high
1225,gesture,身ぶり、ジェスチャー,junior_high
1226,get,"①手に入れる  
②（～に）なる　　
※get back 戻る、取り返す　　get off　降りる 　　 get on 乗る  get to～　～に着く   get up 起きる 　　get well よくなる　　　　
【活用】 get - got - got",junior_high
1227,gift,贈り物,junior_high
1228,girl,女の子、少女,junior_high
1229,give,"与える、あげる　　　　※give up　あきらめる　　
【活用】 give - gave - given     ",junior_high
1230,glad,（人が）うれしい、喜んで　　※be glad to ～　～してうれしい,junior_high
1231,glass,（ガラスの）コップ,junior_high
1232,glasses,眼鏡,junior_high
1233,global,地球の、地球規模の　※global warming  地球温暖化,junior_high
1234,global warming,地球温暖化,junior_high
1235,glove,手袋,junior_high
1236,go,"行く　　※be going to do  ～しようとしている、～するつもりである　
go into～　～に入って行く　      【活用】 go - went - gone",junior_high
1237,goal,目標、（サッカーなどの）ゴール,junior_high
1238,God,神,junior_high
1239,gold,金（の）,junior_high
1240,golf,ゴルフ,junior_high
1241,good,"よい、上手な　   ※　be good at ～　～が得意  
【活用】 good - better - best",junior_high
1242,goodbye,さようなら,junior_high
1243,goods,商品、品物,junior_high
1244,government,政府,junior_high
1245,grade,学年,junior_high
1246,graduate,卒業する,junior_high
1247,gram,グラム,junior_high
1248,granddaughter,孫娘、女の孫,junior_high
1249,grandfather,祖父、おじいさん,junior_high
1250,grandmother,祖母、おばあさん,junior_high
1251,grandson,孫息子、男の孫,junior_high
1252,grape,ブドウ,junior_high
1253,graph,グラフ,junior_high
1254,gray,灰色（の）,junior_high
1255,great,すてきな、すばらしい,junior_high
1256,greatly,大いに,junior_high
1257,green,緑（の）,junior_high
1258,greet,あいさつをする,junior_high
1259,greeting,あいさつ,junior_high
1260,ground,地面、地上、運動場,junior_high
1261,group,グループ、集団,junior_high
1262,grow,"成長する、～を栽培する　　
※grow up 成長する　　【活用】 grow - grew - grown　　",junior_high
1263,guess,推測する　※Guess what!　何だと思う,junior_high
1264,guest,客、ゲスト,junior_high
1265,guide,（動）案内する、導く　　（名）案内人、ガイド,junior_high
1266,guidebook,ガイドブック、案内書,junior_high
1267,guitar,ギター,junior_high
1268,gym,体育館、ジム（gymnasium の略）,junior_high
1269,habit,習慣、くせ,junior_high
1270,hair,髪の毛,junior_high
1271,half,半分（の）,junior_high
1272,hall,ホール、会館       ※city hall 市役所,junior_high
1273,Halloween,ハロウィーン,junior_high
1274,ham,ハム,junior_high
1275,hamburger,ハンバーガー、ハンバーグステーキ,junior_high
1276,hand,手（手首から先の部分）   ※shake hands 握手をする,junior_high
1277,handmade,手づくりの,junior_high
1278,handout,配布印刷物、ビラ、（教室などで配る）プリント,junior_high
1279,hang,つるす,junior_high
1280,happen,起こる、生じる,junior_high
1281,happiness,幸福,junior_high
1282,happy,幸せな、うれしい,junior_high
1283,hard,"①（形）難しい、困難な　　
②（副）いっしょうけんめいに、熱心に",junior_high
1284,harvest,収穫,junior_high
1285,has,"主語が３人称単数形のときのhaveの現在形 　 
※has to～　～しなければならない　　　【活用】 has - had - had",junior_high
1286,hat,（ふちのある）帽子,junior_high
1287,hate,～するのが嫌いだ、～したくはない,junior_high
1288,have,"①（動）持っている、所有している　
②（動）食べる、飲む
※have to～　しなければならない　　【活用】 have - had - had　　
〔have+過去分詞で〕
③（助）（今まで）～すっとしている
④（助）（今までに）～したことがある　
⑤（助）～したところである、もう～した",junior_high
1289,Hawaii,ハワイ,junior_high
1290,he,彼は、彼が,junior_high
1291,head,頭（首から上の部分）,junior_high
1292,headache,頭痛,junior_high
1293,health,健康、健康状態,junior_high
1294,healthy,健康によい,junior_high
1295,hear,聞こえる、聞く    【活用】 hear - heard - heard,junior_high
1296,heart,心、気持ち、心臓,junior_high
1297,heat,熱（する）,junior_high
1298,heater,暖房器具,junior_high
1299,heaven,天国,junior_high
1300,heavy,重い,junior_high
1301,hello,やあ、こんにちは,junior_high
1302,help,"（動）手伝う、助ける　　　
※help yourself to～　　～を自分で取って食べる（飲む）
（名）手伝い、手助け",junior_high
1303,helpful,役に立つ、助けになる,junior_high
1304,her,彼女の、彼女を,junior_high
1305,here,"ここ（に、で、へ）　※Here is (are)～.　ここに～があります
Here you are. はい、どうぞ　　
For here or to go?  ここで食べますか、それともお持ち帰りですか",junior_high
1306,hero,ヒーロー、英雄,junior_high
1307,hers,彼女のもの,junior_high
1308,herself,彼女自身を（に）      ※by herself 彼女自身で,junior_high
1309,hey,ねえ、おや、やあ,junior_high
1310,hi,こんにちは、やあ《helloよりもくだけた言い方》,junior_high
1311,high,（高さ、値段、程度などが）高い,junior_high
1312,high school,高校,junior_high
1313,hiking,ハイキング,junior_high
1314,hill,丘,junior_high
1315,him,彼を、彼に,junior_high
1316,himself,彼自身を（に）　　　　※ by himself  彼自身で,junior_high
1317,his,彼の、彼のもの,junior_high
1318,history,歴史,junior_high
1319,hit,打つ、当たる    【活用】 hit - hit - hit,junior_high
1320,hobby,趣味、道楽,junior_high
1321,hold,"持つ、握る、抱く  　※hold on （電話を）切らずに待つ　
 【活用】 hold - held - held",junior_high
1322,hole,穴,junior_high
1323,holiday,祝日、祭日、休日,junior_high
1324,home,"①（名）家、家庭　　　※at home 家で（に）
②（副）うちへ（に）、故郷へ（に）     ※come(go) home 家に帰る",junior_high
1325,home economics,家庭科,junior_high
1326,homesick,家を恋しがる、故郷を慕う、ホームシックの,junior_high
1327,homestay,ホームステイ、家庭滞在      ※do homestay 　ホームステイする,junior_high
1328,hometown,生まれ育った町（市）,junior_high
1329,homework,宿題　　　　※do one's homework  宿題をする,junior_high
1330,honest,正直な,junior_high
1331,honey,はちみつ,junior_high
1332,hope,希望（する）、望む,junior_high
1333,hopeless,絶望した,junior_high
1334,horse,ウマ,junior_high
1335,hospital,病院,junior_high
1336,host,主催者、（客をもてなす）主人,junior_high
1337,host family,ホストファミリー,junior_high
1338,hot,熱い、暑い,junior_high
1339,hot spring,温泉,junior_high
1340,hotel,ホテル,junior_high
1341,hour,１時間、６０分,junior_high
1342,house,家、住宅,junior_high
1343,housework,家事,junior_high
1344,how,"①（程度）どれぐらい
②（健康・天候・状態）どんな具合で、いかがで
③（方法・手段）どうやって、どんな方法で
※How about～? ～はどうですか　How far～? （距離が）どれくらい遠いですか  How long～?（期間が）どれくらい～ですか  How much～?（金額が）どれくらい～ですか  How many～?（数が）どれくらい～ですか  How often～?（頻度が）どれくらい～ですか  How old～? 何歳ですか  how to ～　～の仕方",junior_high
1345,however,しかしながら、だが,junior_high
1346,human,人間（の）,junior_high
1347,humor,おかしさ、ユーモア,junior_high
1348,hundred,１００（の）　　　※hundreds of ～　　 何百という～,junior_high
1349,hungry,空腹の、飢えた,junior_high
1350,hunting,狩り,junior_high
1351,hurry,急ぐ、急いで行く,junior_high
1352,hurt,傷づける　【活用】 hurt - hurt - hurt,junior_high
1353,husband,夫,junior_high
1354,I,私は、私が（文の主語に使う）,junior_high
1355,ice,氷,junior_high
1356,ice cream,アイスクリーム,junior_high
1357,idea,考え、アイデア,junior_high
1358,if,もし（～する）ならば,junior_high
1359,ill,病気の,junior_high
1360,image,像、画像、イメージ,junior_high
1361,imagine,想像する,junior_high
1362,impact,衝撃,junior_high
1363,importance,重要性、大切さ,junior_high
1364,important,重要な、重大な,junior_high
1365,impossible,不可能な,junior_high
1366,improve,よりよくする、改良する,junior_high
1367,in,"①（場所）～（の中）に（で、の）　
②（期間）～（のうち）に
③（範囲・対象）～の点で",junior_high
1368,including,～を含めて,junior_high
1369,increase,増える、増加する,junior_high
1370,India,インド,junior_high
1371,Indian,インドの、インド人（の）,junior_high
1372,industry,工業,junior_high
1373,influence,影響（を与える）,junior_high
1374,information,情報,junior_high
1375,injure,傷つける、けがをさせる,junior_high
1376,ink,インク,junior_high
1377,inside,中に、中で,junior_high
1378,instead,代わりに　　※instead of　～　～の代わりに,junior_high
1379,instrument,楽器,junior_high
1380,interested,※be interested in ～　～に興味を持っている,junior_high
1381,interesting,おもしろい、興味深い,junior_high
1382,international,国際的な,junior_high
1383,Internet,インターネット　　※on the Internet  インターネットで,junior_high
1384,interview,インタビュー（する）、面接（する）,junior_high
1385,into,～の中へ,junior_high
1386,introduce,～を紹介する　※introduce myself to ～　～に自己紹介する,junior_high
1387,invent,発明する,junior_high
1388,invite,招待する,junior_high
1389,is,"～である、（～に）いる、ある  　
※is～ing ～している、しようとしている　　　【活用】 is - was - been",junior_high
1390,island,島,junior_high
1391,it,それ（は、が）、それ（を、に）,junior_high
1392,Italian,イタリアの、イタリア人（の）、イタリア語（の）,junior_high
1393,Italy,イタリア,junior_high
1394,its,その、それの,junior_high
1395,jacket,上着、ジャケット,junior_high
1396,jam,ジャム,junior_high
1397,January,１月,junior_high
1398,Japan,日本,junior_high
1399,Japanese,日本の、日本人（の）、日本語（の）,junior_high
1400,job,職業、仕事,junior_high
1401,join,～に加わる、参加する,junior_high
1402,joke,冗談、しゃれ,junior_high
1403,journalist,ジャーナリスト,junior_high
1404,joy,喜び,junior_high
1405,judge,判断する,junior_high
1406,juice,（果物、肉などの）液、ジュース,junior_high
1407,July,７月,junior_high
1408,jump,跳ぶ,junior_high
1409,June,６月,junior_high
1410,jungle,（熱帯地方の）密林、ジャングル,junior_high
1411,junior,下位の、年下の　　　※junior high school　中学校,junior_high
1412,junior high school,中学校,junior_high
1413,just,ちょうど、まさに,junior_high
1414,keep,"保存する、保つ、ずっと～である 　※keep～ing ～し続る
※keep in touch  連絡をとりあう　 【活用】 keep - kept - kept",junior_high
1415,key,かぎ、キー,junior_high
1416,kick,蹴る,junior_high
1417,kid,子ども,junior_high
1418,kill,殺す,junior_high
1419,kilogram,キログラム,junior_high
1420,kilometer,キロメートル,junior_high
